bond,Bondage
chem,Chemical Cause
fast,Growth measured in minutes
hg,Hair Growth
huge,Unrealistically Huge Growth
hyp,Hypnosis
nc,Non-consensual
asleep,While subject is sleeping
ag,Ass Growth
big,Large but realistic size
science,Science Cause
slow,Slow Growth (hours/days)
cb,Clothes Burst/Rip
offstage,Events occur offstage
multiple,Multiple Breasts (more than 2)
shem,She-Male
magic,Magic Cause
instant,Instant Growth
ment,Mental transformation
mpg,Male Penis Growth
preg,Pregnancy
weird,Weird transformations
sc,Self-Controlled
lac,Lactation
lg,Leg Growth
rc,Remote-Controlled
mg,Muscle Growth
aliens,Extraterrestrial participation
ar,Age Regression
gts,Giantess
mm,Male Muscle Growth
ft,Female to Male?
wow,Room-filling or larger?
bg,bg
fa,Fat Growth
tg,Male to Female
inc,Incest
